[meta] uuid,Sports club,Political party,Church or other religious institution,"Other type of club (music / art, entertainment, social work etc.)",None of the above
3902aa70-9f02-0134-98bb-0aaafcbd6b1f,FALSE,FALSE,FALSE,TRUE,FALSE
391c9bf0-9d49-0134-491c-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
397cc480-9d3a-0134-5368-0aaafcbd6b1f,FALSE,TRUE,FALSE,FALSE,FALSE
39a455a0-9d93-0134-bbb6-0aaafcbd6b1f,FALSE,TRUE,TRUE,FALSE,FALSE
39ccf710-9e15-0134-b4bd-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
39d86710-9d73-0134-3102-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
3a055da0-9e4a-0134-508f-0aaafcbd6b1f,TRUE,FALSE,TRUE,FALSE,FALSE
3a405460-a01f-0134-c42a-0aaafcbd6b1f,FALSE,FALSE,FALSE,TRUE,FALSE
3a86fd20-9fb5-0134-436d-0a62e1402143,FALSE,TRUE,TRUE,FALSE,FALSE
3aca9020-9e0f-0134-567c-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
3b52cc50-9d73-0134-310a-0aaafcbd6b1f,FALSE,FALSE,FALSE,TRUE,FALSE
3b8f5520-9e1a-0134-e7ad-0aaafcbd6b1f,FALSE,FALSE,TRUE,TRUE,FALSE
3b960860-9e9f-0134-3264-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
3ba14150-a3c7-0134-8299-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
3bddc0e0-9e3a-0134-1fc1-0aaafcbd6b1f,FALSE,TRUE,FALSE,TRUE,FALSE
3c0a55d0-9d34-0134-ec66-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE
3c1188a0-9e60-0134-a0b2-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
3c317900-9e20-0134-1bed-0a62e1402143,FALSE,FALSE,FALSE,TRUE,FALSE
3cb340f0-9e15-0134-b4cf-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
3d1d8d60-9e64-0134-12bc-0a62e1402143,FALSE,TRUE,FALSE,FALSE,FALSE
3db173e0-a4ae-0134-fcb9-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
3e34bbc0-9eca-0134-368c-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
3e87fc10-9e19-0134-5eea-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
3e9f1f00-9e12-0134-b0a3-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
3ec8d1c0-a425-0134-2ef2-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
3ed87840-9f95-0134-c88f-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
3f3b6360-9f89-0134-7cda-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
3f6c7a40-9d9b-0134-8640-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
3fbcd950-a048-0134-b1d4-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE
3fd84370-9de7-0134-1de6-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
3fe0f070-9e3b-0134-515b-0a62e1402143,FALSE,FALSE,TRUE,FALSE,FALSE
3fed3180-9e45-0134-c823-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
401825e0-9eca-0134-369b-0aaafcbd6b1f,FALSE,FALSE,TRUE,FALSE,FALSE
4032c630-9d9a-0134-26d3-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
405b23d0-9e56-0134-5898-0a62e1402143,FALSE,FALSE,TRUE,FALSE,FALSE
406ab4f0-a35a-0134-23be-0a62e1402143,FALSE,TRUE,TRUE,FALSE,FALSE
40a68060-a383-0134-dba0-0a62e1402143,FALSE,FALSE,FALSE,FALSE,TRUE
40ce3d60-a3b0-0134-b6a5-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,TRUE
