[meta] uuid,White (Caucasian),North African / Middle Eastern,Asian (includes Indian),Hispanic or Latino,Black,Other
1a097880-9d59-0134-b05d-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7f2ccd40-9d3e-0134-6447-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
94156210-9e39-0134-3205-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
e8123530-9d5e-0134-fff2-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
d6bf11e0-a036-0134-12d1-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
d24bda00-a03a-0134-55c2-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
b21a0910-a01e-0134-c1e1-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
faaa98f0-9f92-0134-dd9d-0a62e1402143,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
a21962b0-9d37-0134-92a7-0a62e1402143,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
b5bb1af0-a12c-0134-daaa-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3fd1c6d0-9d4c-0134-7a09-0a62e1402143,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
62a4d500-a12c-0134-8074-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
faf25100-9d4a-0134-5220-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
66f98d20-9e7f-0134-b2ed-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
22bac5c0-9d5a-0134-82ea-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1f95f7b0-9dd0-0134-6bdd-0a62e1402143,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
5fee5f20-9f65-0134-5635-0a62e1402143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7f306470-9d5a-0134-6ac7-0aaafcbd6b1f,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
172b07e0-9fbf-0134-1b3c-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
bacec270-9f92-0134-f72f-0aaafcbd6b1f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
